tema,visitas,duracion,link_youtube,fecha_lanzamiento
just dance,300millones,4:01,https://www.youtube.com/watch?v=2Abk1jAONjw,2008-04-08
poker face,120millones,3:57,https://www.youtube.com/watch?v=bESGLojNYSo,2008-09-26
Eh Eh (Nothing Else I Can Say),50 millones,2:55,https://www.youtube.com/watch?v=6yP4Nm86yk0,2009-01-10
LoveGame,100 millones,3:36,https://www.youtube.com/watch?v=lv5RJ1q8u3I,2009-03-24
Paparazzi,300 millones,3:28,https://www.youtube.com/watch?v=d2smz_1L2_0,2009-07-06
Bad Romance,1300 millones,4:54,https://www.youtube.com/watch?v=qrO4YZeyl0I,2009-10-26
Beyonce | Kanye West - Telephone,500 millones,3:40,https://www.youtube.com/watch?v=EVBsypHzF3U,2010-01-26
Alejandro,400 millones,4:34,https://www.youtube.com/watch?v=niqrrmev4mA,2010-04-20
Born This Way,400 millones,4:20,https://www.youtube.com/watch?v=wV1FrqwZyKw,2011-02-11
Judas,300 millones,4:09,https://www.youtube.com/watch?v=wagn8Wrmzuc,2011-04-15
